authorId,Books
731550,"[{'bookId': 1299145, 'publicationYear': 2008, 'genre': None}]"
920721,[]
739351,"[{'bookId': 1319800, 'publicationYear': 2013, 'genre': None}]"
752439,"[{'bookId': 1354064, 'publicationYear': 2014, 'genre': None}]"
792434,"[{'bookId': 95710, 'publicationYear': 1992, 'genre': ['Nonfiction', 'Technology & Engineering', 'Business planning']}]"
752520,"[{'bookId': 1354313, 'publicationYear': 2018, 'genre': None}]"
755842,"[{'bookId': 1362216, 'publicationYear': None, 'genre': None}]"
856192,[]
767735,"[{'bookId': 1383201, 'publicationYear': 2013, 'genre': ['Nature']}]"
653491,"[{'bookId': 1107716, 'publicationYear': None, 'genre': None}]"
856193,[]
856194,[]
159977,"[{'bookId': 222235, 'publicationYear': None, 'genre': None}, {'bookId': 685195, 'publicationYear': 2011, 'genre': None}, {'bookId': 81497, 'publicationYear': None, 'genre': None}, {'bookId': 191727, 'publicationYear': 2009, 'genre': None}]"
119481,"[{'bookId': 245499, 'publicationYear': None, 'genre': None}, {'bookId': 120837, 'publicationYear': None, 'genre': None}]"
126851,"[{'bookId': 95699, 'publicationYear': 1992, 'genre': ['History', 'Civilization', ' Western']}, {'bookId': 132010, 'publicationYear': None, 'genre': None}]"
159966,"[{'bookId': 222226, 'publicationYear': None, 'genre': None}]"
992548,"[{'bookId': 1648269, 'publicationYear': 2024, 'genre': None}]"
920683,"[{'bookId': 1507549, 'publicationYear': 2009, 'genre': None}]"
205603,"[{'bookId': 5632, 'publicationYear': None, 'genre': None}]"
205624,"[{'bookId': 363587, 'publicationYear': None, 'genre': None}]"
163005,"[{'bookId': 747741, 'publicationYear': 2022, 'genre': None}, {'bookId': 844247, 'publicationYear': None, 'genre': None}, {'bookId': 1178807, 'publicationYear': 2015, 'genre': None}, {'bookId': 19712, 'publicationYear': None, 'genre': None}, {'bookId': 495968, 'publicationYear': 2016, 'genre': None}, {'bookId': 717151, 'publicationYear': None, 'genre': None}, {'bookId': 844011, 'publicationYear': None, 'genre': None}, {'bookId': 905183, 'publicationYear': None, 'genre': None}, {'bookId': 1390908, 'publicationYear': 2022, 'genre': ['Young Adult', 'Juvenile Fiction']}, {'bookId': 1655220, 'publicationYear': 2021, 'genre': None}, {'bookId': 288239, 'publicationYear': None, 'genre': None}]"
270242,[]
270244,[]
481946,"[{'bookId': 1401986, 'publicationYear': None, 'genre': None}, {'bookId': 1631465, 'publicationYear': 2019, 'genre': None}, {'bookId': 1300046, 'publicationYear': None, 'genre': None}, {'bookId': 1300063, 'publicationYear': None, 'genre': None}, {'bookId': 816863, 'publicationYear': 2022, 'genre': None}, {'bookId': 817148, 'publicationYear': None, 'genre': None}, {'bookId': 816849, 'publicationYear': 2022, 'genre': None}, {'bookId': 1575185, 'publicationYear': None, 'genre': None}]"
538026,"[{'bookId': 908956, 'publicationYear': 1883, 'genre': None}]"
787440,[]
731756,"[{'bookId': 1299856, 'publicationYear': None, 'genre': None}]"
800882,"[{'bookId': 95733, 'publicationYear': 2005, 'genre': ['Nature']}]"
78833,[]
828344,"[{'bookId': 1044188, 'publicationYear': 2023, 'genre': ['Fantasy']}]"
856196,[]
826983,[]
826984,[]
735731,"[{'bookId': 1311192, 'publicationYear': None, 'genre': None}]"
205641,"[{'bookId': 118209, 'publicationYear': None, 'genre': None}]"
737869,"[{'bookId': 1316460, 'publicationYear': None, 'genre': None}, {'bookId': 1316282, 'publicationYear': 2012, 'genre': None}]"
752412,"[{'bookId': 1354004, 'publicationYear': 1883, 'genre': None}]"
754270,"[{'bookId': 1358857, 'publicationYear': None, 'genre': None}]"
756616,"[{'bookId': 1364188, 'publicationYear': None, 'genre': None}]"
270238,"[{'bookId': 354772, 'publicationYear': 1989, 'genre': ['Fiction', 'Fantasy', 'Science fiction', 'Thriller', 'English fiction']}]"
758986,"[{'bookId': 1367902, 'publicationYear': 2010, 'genre': None}]"
920722,[]
371351,"[{'bookId': 1507584, 'publicationYear': 2010, 'genre': ['Mathematics']}, {'bookId': 631997, 'publicationYear': 1992, 'genre': None}]"
289788,"[{'bookId': 499451, 'publicationYear': 2008, 'genre': None}]"
347225,"[{'bookId': 591239, 'publicationYear': None, 'genre': None}, {'bookId': 1255426, 'publicationYear': 2016, 'genre': None}]"
538027,"[{'bookId': 908958, 'publicationYear': 1976, 'genre': None}]"
