bookId,title,publicationYear,description,language,reviews,publisherId
1556513,Далёкая радуга,1963,,English,"[{'reviewiId': 4677482, 'score': 4.0, 'comment': None, 'date': '2019-10-02', 'userId': 20644}]",4789
1141299,Organizing from the Right Side of the Brain: A Creative Approach to Getting Organized,2004,,English,[],
261709,Joseph McCarthy,,"A biography of the Wisconsin Senator whose questionable methods as a ""Communist witch-hunter"" brought him fame in the decade after World War II and led to his eventual censure by the United States Senate.",English,[],
668317,Run Rabbit Run,2011,"When Lizzie's dad refuses to fight in the Second World War, the police come looking to arrest him. Desperate to stay together, Lizzie and her brother Freddie go on the run with him, hiding from the police in idyllic Whiteway. But when their past catches up with them, they're forced to leave and it becomes more and more difficult to stay together as a family. Will they be able to? And will they ever find a place, like Whiteway, where they will be safe again?",English,[],
1590460,The Broken Harp: Identity and Language in Modern Ireland,2014,,English,[],2257
1464536,Ursul păcălit de vulpe,1880,,English,[],40953
1633201,Hell for Breakfast,2021,"Johnstone Country. Be Quick or Be Dead. In a twist of fate, Slash and Pecos are riding hard for the law, dispensing justice as they see fit, and determined to watch their final sunset as heroes . . . not outlaws. His wicked ways mostly behind him, reformed bank robber Jimmy “Slash” Braddock is getting hitched to his sweetheart. But before the honeymoon, Chief U.S. Marshal Luther T. “Bleed-’Em-So” Bledsoe needs Slash and his former partner-in-crime, Melvin “Pecos Kid” Baker, to don a couple of deputy marshal badges and saddle up for a trip to Nebraska. Seems the town of Harveyville has fallen prey to a trio of murderous badmen blasting away up and down Main Street, and the local law needs some assistance from men who know how to handle a gun. But Slash and Pecos killed the wrong man. Worse, the town marshal tells them that the outlaws rode on and he doesn’t need their help after all. But now Slash and Pecos are wanted men. Tom Gyllenwater’s son is dead. He won’t rest until Slash and Pecos are permanently relocated to Boot Hill. And as the duo are targeted by every gun-crazy desperado in the territory, Slash and Pecos discover they’ll find no help from anyone in Harveyville, a town of ruthless and corrupt folks willing to kill to protect their secrets . . . Live Free. Read Hard.",English,[],4856
1141733,Stay Gold Ponyboy: A Lined Notebook: inspirational Motivational Johnny Quotes Stay Gold Ponyboy Stay Gold,,,English,[],
1141721,Curse of the Gypsy,,,English,[],
1141715,Blue is for Nightmares Collections,,,English,[],
1141745,The Colony,2014,,English,[],
1141746,Vandal Eyes,2014,,English,[],
1360331,The Lives of Christopher Chant,,,English,[],
