bookId,title,publicationYear,description,language,publisher,reviews,users
1660919,A Long Time Coming: The Story of Ngai Tahu’s Treaty Settlement Negotiations with the Crown,2020,The Ngai Tahu settlement like all other Treaty of Waitangi settlements in Aotearoa New Zealand was more a product of political compromise and expediency than measured justice The Ngai Tahu claim Te Kereme spanned two centuries from the first letter of protest to the Crown in 1849 to the final hearing by the Waitangi Tribunal between 1987 and 1989 and then the settlement in 1998 The intense negotiations between the two parties Ngai Tahu and the Crown were led by Tipene ORegan and the Minister of Treaty Negotiations Doug Graham The Ngai Tahu team had to answer to the communities back home and iwi members around the country Most were strongly supportive but others attacked them at hui on the marae and in the media courts and Parliament Graham and his officials too had to answer to their political masters And the general public  interested Pakeha conservationists farmers and others  had their own opinions In this measured comprehensive and readable account Martin Fisher shows how amid such strong internal and external pressures the two sides somehow managed to negotiate one of the countrys longest legal documents,English,"{'publisherId': 11213, 'name': 'Canterbury University Press', 'country': 'USA'}",[],[]
939853,The Ends of the Earth,2017,The third James Maxted thriller from the internationally bestselling author a master of the sly double and triplecross The Seattle Times The Treaty of Versailles has finally been signed officially ending the World War I peace negotiations and the action shifts east to Tokyo where a team assembled at Maxs behest anxiously awaits his arrival on the docks The dashing Royal Flying Corps veteran turned secret service operative had arrived in Paris soon after the end of the Great War to investigate the suspicious death of his father a British diplomat named Sir Henry and soon plunged into a treacherous game of catandmouse with the people behind his fathers death German spymaster Fritz Lemmer and the dark horse of the Japanese diplomatic contingent Count Tomura It is in Japanwhere Sir Henry worked as a young government agentthat Max hopes to finally uncover the whole truth behind his fathers murder and take down Lemmers spy network once and for all But what Maxs cohort doesnt know is that his own storyline seems to have come to an end in a villa outside Marseilles Stuck in limbo the team decides to pursue their only leadright into Lemmers den Loaded with death threats knife fights a kidnapping or two and a coded list that has the power to dismantle whole governmental hierarchies The Ends of the Earth is a masterful work of historical cutandthrust that tests the bonds of family and country to their very limit Thrilling    The third and most satisfying entry in an excellent series of oldschool spy thrillers Kirkus Reviews,English,"{'publisherId': None, 'name': None, 'country': None}",[],[]
1615543,Going Native: Biodiversity in Our Own Backyards,1994,In this book the authors suggest that landscape maintenance could be reduced in a bid to help recreate the natural diversity of plants in the garden It offers extensive advice on ways to make use of trees wildflowers grasses and ferns,English,"{'publisherId': 13544, 'name': 'Brooklyn Botanic Garden', 'country': 'USA'}","[{'reviewId': 5145856, 'score': None, 'comment': None, 'date': '2013-10-16'}]","[{'userId': 22769, 'name': 'Maree', 'birthdate': None, 'nationality': 'Melbourne, Australia'}]"
939849,Eye of the Storm: The Impact of Climate Shocks on Inflation and Growth,2023,What is the impact of climate change on inflation and growth dynamics This is not a simple question to answer as climate shocks tend to be ubiquitous but with opposing effects simultaneously on demand and supply The extent of which climaterelated shocks affect inflation and economic growth also depends on longrun scarring in the economy and the countrys fiscal and institutional capacity to support recovery In this paper we use the local projection method to empirically investigate how climate shocks as measured by climateinduced natural disasters influence inflation and economic growth in a large panel of countries over the period 19702020 The results shows that both inflation and real GDP growth respond significantly but also differently in terms of direction and magnitude to different types of disasters caused by climate change We split the full sample of countries into income groupsadvanced economies and developing countriesand find a striking contrast in the impact of climate shocks on inflation and growth according to income level state of the economy and fiscal space when the shock hits,English,"{'publisherId': None, 'name': None, 'country': None}",[],[]
659223,Ama tu cuerpo,2014,Quieres lucir como Cameron Diaz Conoce la frmula de esta atractiva estrella para ser ms feliz sana y fuerte Fundamentado cientficamente y comprobado en la vida real Ama tu cuerpo ofrece una visin integral del cuerpo humano y la mente A lo largo de su carrera Cameron Daz ha sido un modelo a seguir para millones de mujeres Pero esta delgada glamorosa y centrada estrella no siempre fue consciente de su salud Aprender sobre el vnculo inseparable entre la nutricin y el cuerpo fue slo una de las lecciones de vida que han llevado a Cameron a educarse sobre las mejores maneras de alimentarse moverse y cuidar su cuerpo En Ama tu cuerpo comparte lo que ha aprendido acerca de la nutricin el ejercicio y la conexin mentecuerpo Desde la desmitificacin de las creencias alrededor de los grupos alimenticios hasta la explicacin nutricional de las vitaminas y minerales los lectores descubrirn por qu es tan importante desarrollar el instinto del hambre y satisfacerlo con alimentos ricos en nutrientes Cameron tambin explica el papel esencial del movimiento la importancia de la fuerza muscular y sea y por qu tenemos que sudar un poco cada da Este libro no establece metas a alcanzar en siete das o treinta das o un ao Ofrece un enfoque holstico a largo plazo para la toma de decisiones coherentes que te permitirn llegar a la meta final una vida larga feliz fuerte y saludable,English,"{'publisherId': None, 'name': None, 'country': None}",[],[]
528731,Notes on the Cinematographer,1975,The French film director Robert Bresson was one of the great artists of the twentieth century and among the most radical original and radiant stylists of any time He worked with nonprofessional actorsmodels as he called themand deployed a starkly limited but hypnotic array of sounds and images to produce such classic works as A Man Escaped Pickpocket Diary of a Country Priest and Lancelot of the Lake From the beginning to the end of his career Bresson dedicated himself to making movies in which nothing is superfluous and everything is always at stake Notes on the Cinematograph distills the essence of Bressons theory and practice as a filmmaker and artist He discusses the fundamental differences between theater and film parses the deep grammar of silence music and noise and affirms the mysterious power of the image to unlock the human soul This book indispensable for admirers of this great director and for students of the cinema will also prove an inspiration much like Rilkes Letters to a Young Poet for anyone who responds to the claims of the imagination at its most searching and rigorous,English,"{'publisherId': None, 'name': None, 'country': None}","[{'reviewId': 211072, 'score': None, 'comment': None, 'date': '2020-11-23'}, {'reviewId': 223208, 'score': None, 'comment': None, 'date': '2017-09-06'}, {'reviewId': 511547, 'score': None, 'comment': None, 'date': '2018-06-10'}, {'reviewId': 604500, 'score': None, 'comment': None, 'date': '2023-05-14'}, {'reviewId': 759198, 'score': None, 'comment': None, 'date': '2022-09-02'}, {'reviewId': 931671, 'score': None, 'comment': None, 'date': '2023-03-17'}, {'reviewId': 1973856, 'score': 3.0, 'comment': None, 'date': '2024-04-17'}, {'reviewId': 2117831, 'score': None, 'comment': None, 'date': '2024-05-07'}, {'reviewId': 1973761, 'score': 4.0, 'comment': None, 'date': '2024-04-17'}, {'reviewId': 2012152, 'score': None, 'comment': None, 'date': '2024-04-26'}, {'reviewId': 3105457, 'score': None, 'comment': None, 'date': '2022-06-15'}, {'reviewId': 4755457, 'score': None, 'comment': None, 'date': '2015-02-26'}, {'reviewId': 3162911, 'score': None, 'comment': None, 'date': '2024-01-24'}, {'reviewId': 3176085, 'score': None, 'comment': None, 'date': '2024-03-20'}, {'reviewId': 3309270, 'score': None, 'comment': None, 'date': '2020-08-31'}, {'reviewId': 4829496, 'score': None, 'comment': None, 'date': '2021-05-05'}, {'reviewId': 4838452, 'score': None, 'comment': None, 'date': '2021-09-12'}, {'reviewId': 3524785, 'score': None, 'comment': None, 'date': '2021-02-19'}, {'reviewId': 5500327, 'score': None, 'comment': None, 'date': '2020-12-07'}, {'reviewId': 4087540, 'score': None, 'comment': None, 'date': '2018-04-23'}, {'reviewId': 5080033, 'score': None, 'comment': None, 'date': '2014-10-26'}, {'reviewId': 4323604, 'score': None, 'comment': None, 'date': '2019-12-30'}, {'reviewId': 4344307, 'score': None, 'comment': None, 'date': '2024-08-21'}, {'reviewId': 4353709, 'score': None, 'comment': None, 'date': '2024-07-18'}, {'reviewId': 4356894, 'score': None, 'comment': None, 'date': '2015-10-13'}, {'reviewId': 5129935, 'score': None, 'comment': None, 'date': '2024-03-16'}, {'reviewId': 4552617, 'score': None, 'comment': None, 'date': '2014-03-25'}, {'reviewId': 5848609, 'score': None, 'comment': None, 'date': '2021-12-20'}, {'reviewId': 5977818, 'score': 3.0, 'comment': '<p>Bresson offers a collection of profound insights into the true essence of filmmaking. Bresson’s arguments about what cinema should strive to be are compelling, and his expectations for his models/actors shed light on his unique vision for film.<br /><br />His approach often depart from what mainstream filmmakers and general audiences typically appreciate. The challenge wasn’t rooted in style but in storytelling. Both Bresson and Tarkovsky advocated for filmmakers to push boundaries, experiment, and refine their craft by minimizing excess in favor of powerful imagery—creating pure visual storytelling.<br /><br />It’s essential reading, filled with invaluable notes for anyone passionate about film.</p>', 'date': '2024-09-06'}]","[{'userId': 936, 'name': 'Maximilian Schulz', 'birthdate': None, 'nationality': 'Essen, Germany'}, {'userId': 969, 'name': 'Sergio', 'birthdate': None, 'nationality': 'Portugal'}, {'userId': 2256, 'name': 'Serenv', 'birthdate': None, 'nationality': 'PR'}, {'userId': 2745, 'name': 'Thomas', 'birthdate': None, 'nationality': 'New Zealand'}, {'userId': 3191, 'name': 'skully', 'birthdate': None, 'nationality': 'Portugal'}, {'userId': 3946, 'name': 'triales', 'birthdate': None, 'nationality': None}, {'userId': 8621, 'name': 'Cécémiel', 'birthdate': None, 'nationality': 'Belgium'}, {'userId': 9129, 'name': 'Tintin', 'birthdate': None, 'nationality': 'Tbilisi'}, {'userId': 8620, 'name': 'saibe', 'birthdate': None, 'nationality': 'Belgium'}, {'userId': 3963, 'name': 'blair', 'birthdate': None, 'nationality': 'nowhere'}, {'userId': 12332, 'name': 'gabriel', 'birthdate': None, 'nationality': 'boston'}, {'userId': 20990, 'name': 'Jay Hoffmann', 'birthdate': None, 'nationality': None}, {'userId': 12632, 'name': '314xsl', 'birthdate': None, 'nationality': None}, {'userId': 12650, 'name': 'Lucas', 'birthdate': None, 'nationality': 'Brazil'}, {'userId': 13173, 'name': 'Rafi', 'birthdate': None, 'nationality': None}, {'userId': 21388, 'name': 'Andy', 'birthdate': None, 'nationality': 'Mumbai'}, {'userId': 21469, 'name': 'cinske', 'birthdate': None, 'nationality': 'Berlin'}, {'userId': 14095, 'name': 'Fabian', 'birthdate': None, 'nationality': None}, {'userId': 24785, 'name': 'Paul Nadeau', 'birthdate': None, 'nationality': 'San Francisco'}, {'userId': 17408, 'name': 'David', 'birthdate': None, 'nationality': 'Brooklyn, NY'}, {'userId': 22575, 'name': 'Nicole', 'birthdate': None, 'nationality': 'Toronto'}, {'userId': 18825, 'name': 'mel', 'birthdate': None, 'nationality': ''}, {'userId': 18923, 'name': 'alex', 'birthdate': None, 'nationality': 'colorado'}, {'userId': 18986, 'name': 'Siddhartha Golu', 'birthdate': None, 'nationality': 'Bengaluru, India'}, {'userId': 18993, 'name': 'Honza Marcinek', 'birthdate': None, 'nationality': 'Prague, Czechia'}, {'userId': 22750, 'name': 'Jake Squire', 'birthdate': None, 'nationality': 'Los Angeles'}, {'userId': 19807, 'name': 'tom', 'birthdate': None, 'nationality': 'Brooklyn, NY'}, {'userId': 26431, 'name': 'Alicia', 'birthdate': None, 'nationality': 'Houston, TX'}, {'userId': 27080, 'name': 'M. Gelle Abdullahi', 'birthdate': None, 'nationality': 'Stockholm '}]"
1574227,Malice in London,2000,When a murder victim is discovered in the murky waters of the River Thames Erkine Powell of Scotland Yard plunges into the most diabolical case of his career which is linked to a second brutal slaying He must race across London and against time to stop a coldblooded killer The book contains a special author interview,English,"{'publisherId': 244, 'name': 'Fawcett', 'country': 'USA'}","[{'reviewId': 4828711, 'score': None, 'comment': None, 'date': '2022-02-24'}]","[{'userId': 21375, 'name': 'Matt Meskill', 'birthdate': None, 'nationality': 'Portland, OR'}]"
1615547,The Australian Tea Tree Oil Guide: First Aid Kit in a Bottle,1991,Contains current clinical research into tea tree oils effectiveness against conditions ranging from acne to candida,English,"{'publisherId': 12809, 'name': 'Lotus Press', 'country': 'USA'}","[{'reviewId': 5145855, 'score': 3.0, 'comment': None, 'date': '2009-02-28'}]","[{'userId': 22769, 'name': 'Maree', 'birthdate': None, 'nationality': 'Melbourne, Australia'}]"
1554777,The Next Chapters: An On the Same Page Novella,2024,Gianna Mkinen has been in love with her best friend Riley Beckett for her entire adult life Shed long accepted that her place in life was Rileys best friend and that was okay It was more than okayShe never imagined that she would have the opportunity to confess her love to Riley to marry her to have a herd of children with herRiley always knew shed be building her life with Gianna but she never knew it would be this kind of life This allconsuming passionate together lifeThey learn through the years that the only thing better than finally being on the same page is being able to go through the next chapters of life with one another,English,"{'publisherId': None, 'name': None, 'country': None}","[{'reviewId': 4662512, 'score': 4.5, 'comment': None, 'date': '2024-10-26'}, {'reviewId': 5767870, 'score': 5.0, 'comment': '<p>I absolutely adored On the Same Page, so it’s not surprise that I loved seeing more of Riley and Gianna. I absolutely loved the way this was structured; getting glimpses into their past experiences before seeing how those experiences shaped their futures really helped to maintain the feeling of the first book. Absolutely recommend to anyone who read the original!</p>', 'date': '2024-09-12'}]","[{'userId': 16344, 'name': 'Whitney', 'birthdate': None, 'nationality': 'Maine'}, {'userId': 26091, 'name': 'May', 'birthdate': None, 'nationality': 'nycish'}]"
1467719,The Summer I First Saw You,2024,An angsty age gap forbidden romance from bestselling author Elizabeth O Roark Once upon a time my buddys niece was a toddler in a swim diaper following me around the beach Now Daisys twentyone the loveliest thing Ive ever laid eyes on and blackmailing me into letting her stay for the summer If shes not bent over on my deck in yoga pants shes in a bikini that covers far less She makes me laugh when I want to stay pissed off and forces me to remember all the things I used to love If only she wasnt so damn young and so incrediblyofflimits The tension between us is getting harder to resist but giving in would destroy some of my oldest friendships Worst of all though It might destroy Daisy too,English,"{'publisherId': 76289, 'name': ""Elizabeth O'Roark"", 'country': 'USA'}","[{'reviewId': 4814216, 'score': None, 'comment': None, 'date': '2024-06-24'}, {'reviewId': 4098157, 'score': None, 'comment': None, 'date': '2024-08-30'}, {'reviewId': 5284000, 'score': None, 'comment': '<p>Elizabeth O’Roark does forbidden like no one else. I can’t wait for this shit to come out</p>', 'date': '2024-08-18'}]","[{'userId': 21257, 'name': 'Stephanie', 'birthdate': None, 'nationality': 'Washington, DC'}, {'userId': 17534, 'name': 'carlyn', 'birthdate': None, 'nationality': ''}, {'userId': 23557, 'name': 'Shy', 'birthdate': None, 'nationality': ''}]"
