authorId,Books
731550,"[{'bookId': 1299145, 'publicationYear': 2008, 'genre': None}]"
920721,[]
739351,"[{'bookId': 1319800, 'publicationYear': 2013, 'genre': None}]"
752439,"[{'bookId': 1354064, 'publicationYear': 2014, 'genre': None}]"
792434,"[{'bookId': 95710, 'publicationYear': 1992, 'genre': ['Nonfiction', 'Technology & Engineering', 'Business planning']}]"
752520,"[{'bookId': 1354313, 'publicationYear': 2018, 'genre': None}]"
755842,"[{'bookId': 1362216, 'publicationYear': None, 'genre': None}]"
856192,[]
767735,"[{'bookId': 1383201, 'publicationYear': 2013, 'genre': ['Nature']}]"
653491,"[{'bookId': 1107716, 'publicationYear': None, 'genre': None}]"
856193,[]
856194,[]
159977,"[{'bookId': 222235, 'publicationYear': None, 'genre': None}, {'bookId': 685195, 'publicationYear': 2011, 'genre': None}, {'bookId': 81497, 'publicationYear': None, 'genre': None}, {'bookId': 191727, 'publicationYear': 2009, 'genre': None}]"
119481,"[{'bookId': 245499, 'publicationYear': None, 'genre': None}, {'bookId': 120837, 'publicationYear': None, 'genre': None}]"
126851,"[{'bookId': 95699, 'publicationYear': 1992, 'genre': ['History', 'Civilization', ' Western']}, {'bookId': 132010, 'publicationYear': None, 'genre': None}]"
159966,"[{'bookId': 222226, 'publicationYear': None, 'genre': None}]"
992548,"[{'bookId': 1648269, 'publicationYear': 2024, 'genre': None}]"
920683,"[{'bookId': 1507549, 'publicationYear': 2009, 'genre': None}]"
205603,"[{'bookId': 5632, 'publicationYear': None, 'genre': None}]"
205624,"[{'bookId': 363587, 'publicationYear': None, 'genre': None}]"
