id,description,release_year,title,publisherId,reviews
875369,,1998,"Pokémon Adventures, Vol. 3",1,[]
639332,,1848,الليالي البيضاء,1,"[{'score': 0.9979168772697449, 'id': 20261411794, 'context': 'books', 'updated_at': '2025-01-20T00:34:34.615645', 'userId': None}, {'score': 0.9981069564819336, 'id': 20309176149, 'context': 'books', 'updated_at': '2025-01-22T15:39:33.417157', 'userId': None}, {'score': 0.9986221790313721, 'id': 20262141963, 'context': 'books', 'updated_at': '2025-01-20T01:04:43.943968', 'userId': None}, {'score': 0.9984142780303955, 'id': 20262205871, 'context': 'books', 'updated_at': '2025-01-20T01:15:19.877237', 'userId': None}, {'score': 0.9989179968833923, 'id': 20262300723, 'context': 'books', 'updated_at': '2025-01-20T01:31:09.73831', 'userId': None}, {'score': 0.9989392757415771, 'id': 20262372668, 'context': 'books', 'updated_at': '2025-01-20T01:41:41.803304', 'userId': None}, {'score': 0.9979832768440247, 'id': 20302993775, 'context': 'books', 'updated_at': '2025-01-22T06:04:09.65669', 'userId': None}, {'score': 0.9972131252288818, 'id': 20278944736, 'context': 'books', 'updated_at': '2025-01-20T23:00:34.785669', 'userId': None}, {'score': 0.9931878447532654, 'id': 20303122404, 'context': 'books', 'updated_at': '2025-01-22T06:25:56.228566', 'userId': None}, {'score': 0.9937926530838013, 'id': 20279429644, 'context': 'books', 'updated_at': '2025-01-20T23:43:34.424024', 'userId': None}, {'score': 0.9986646771430969, 'id': 20303836739, 'context': 'books', 'updated_at': '2025-01-22T07:36:18.147978', 'userId': None}, {'score': 0.9986571073532104, 'id': 20182161662, 'context': 'books', 'updated_at': '2025-01-16T00:05:20.995237', 'userId': None}, {'score': 0.9979281425476074, 'id': 20305204347, 'context': 'books', 'updated_at': '2025-01-22T09:00:03.971961', 'userId': None}, {'score': 0.9974926114082336, 'id': 20182245375, 'context': 'books', 'updated_at': '2025-01-16T00:17:10.128695', 'userId': None}, {'score': 0.9985945224761963, 'id': 20182377468, 'context': 'books', 'updated_at': '2025-01-16T00:34:05.358707', 'userId': None}, {'score': 0.9923678040504456, 'id': 20305900764, 'context': 'books', 'updated_at': '2025-01-22T10:24:17.724032', 'userId': None}, {'score': 0.9969189167022705, 'id': 20306159699, 'context': 'books', 'updated_at': '2025-01-22T11:01:22.088344', 'userId': None}, {'score': 0.9975367784500122, 'id': 20306184801, 'context': 'books', 'updated_at': '2025-01-22T11:05:05.117991', 'userId': None}, {'score': 0.9990715384483337, 'id': 20183432605, 'context': 'books', 'updated_at': '2025-01-16T01:30:35.924099', 'userId': None}, {'score': 0.9979808330535889, 'id': 20184027095, 'context': 'books', 'updated_at': '2025-01-16T01:51:07.481793', 'userId': None}, {'score': 0.9967968463897705, 'id': 20307214572, 'context': 'books', 'updated_at': '2025-01-22T12:54:16.306816', 'userId': None}, {'score': 0.9973948001861572, 'id': 20300879845, 'context': 'books', 'updated_at': '2025-01-22T04:10:29.65403'}]"
250690,Indic stories translated into Spanish.,,La Aldea y la ciudad,1,[]
454978,"In the year 2056, robots have replaced human beings in the workforce. An uneasy co-existence develops between the newly intelligent robots and the ten billion humans living on Earth. Every human family is assigned a robot upon whom they are completely reliant. What could possibly go wrong? Meet the Walters, a human family whose robot, Razorball, ominously spends his free time in the garage working on machines which they’re pretty sure are designed to kill them in this sci-fi satire from Mark Russell (The Flintstones, Second Coming) and Mike Deodato Jr. (The Amazing Spider-Man, The Resistance).",2022,Not All Robots,1,"[{'score': 0.9985290765762329, 'id': 20262028390, 'context': 'books', 'updated_at': '2025-01-20T00:47:19.889841', 'userId': None}, {'score': 0.9987509846687317, 'id': 20309734210, 'context': 'books', 'updated_at': '2025-01-22T15:56:58.147766', 'userId': None}, {'score': 0.9991969466209412, 'id': 20309891531, 'context': 'books', 'updated_at': '2025-01-22T16:21:39.970104', 'userId': None}, {'score': 0.9990648031234741, 'id': 20277985797, 'context': 'books', 'updated_at': '2025-01-20T21:44:49.650762', 'userId': None}, {'score': 0.998352587223053, 'id': 20302026563, 'context': 'books', 'updated_at': '2025-01-22T05:10:09.65035', 'userId': None}, {'score': 0.99871426820755, 'id': 20295363539, 'context': 'books', 'updated_at': '2025-01-21T19:55:07.601751', 'userId': None}, {'score': 0.998960018157959, 'id': 20295520118, 'context': 'books', 'updated_at': '2025-01-21T20:24:23.059768', 'userId': None}, {'score': 0.9994757175445557, 'id': 20278843406, 'context': 'books', 'updated_at': '2025-01-20T22:44:58.560658', 'userId': None}, {'score': 0.9994903802871704, 'id': 20278933502, 'context': 'books', 'updated_at': '2025-01-20T22:58:44.923367', 'userId': None}, {'score': 0.9990932941436768, 'id': 20279009428, 'context': 'books', 'updated_at': '2025-01-20T23:11:50.430648', 'userId': None}, {'score': 0.9984106421470642, 'id': 20296859934, 'context': 'books', 'updated_at': '2025-01-21T22:08:49.545571', 'userId': None}, {'score': 0.9976826906204224, 'id': 20296942875, 'context': 'books', 'updated_at': '2025-01-21T22:25:59.566469', 'userId': None}, {'score': 0.9988355040550232, 'id': 20280255133, 'context': 'books', 'updated_at': '2025-01-21T00:43:26.950724', 'userId': None}, {'score': 0.9983748197555542, 'id': 20304763897, 'context': 'books', 'updated_at': '2025-01-22T08:41:06.155433', 'userId': None}, {'score': 0.9977210760116577, 'id': 20298697366, 'context': 'books', 'updated_at': '2025-01-22T02:34:10.38884', 'userId': None}, {'score': 0.9971352815628052, 'id': 20305953724, 'context': 'books', 'updated_at': '2025-01-22T10:32:30.603179', 'userId': None}, {'score': 0.9991453886032104, 'id': 20306229941, 'context': 'books', 'updated_at': '2025-01-22T11:12:24.19327', 'userId': None}, {'score': 0.9982564449310303, 'id': 20183279431, 'context': 'books', 'updated_at': '2025-01-16T01:10:52.846372', 'userId': None}, {'score': 0.996959924697876, 'id': 20183350688, 'context': 'books', 'updated_at': '2025-01-16T01:19:54.306093', 'userId': None}, {'score': 0.997974157333374, 'id': 20183474349, 'context': 'books', 'updated_at': '2025-01-16T01:35:59.727144', 'userId': None}, {'score': 0.9982315301895142, 'id': 20299730279, 'context': 'books', 'updated_at': '2025-01-22T03:05:21.046461', 'userId': None}, {'score': 0.9983797073364258, 'id': 20299739951, 'context': 'books', 'updated_at': '2025-01-22T03:07:05.046626', 'userId': None}, {'score': 0.9972123503684998, 'id': 20184124437, 'context': 'books', 'updated_at': '2025-01-16T02:03:40.470446', 'userId': None}, {'score': 0.9985184073448181, 'id': 20307372196, 'context': 'books', 'updated_at': '2025-01-22T13:15:45.234062', 'userId': None}, {'score': 0.9978705644607544, 'id': 20300742992, 'context': 'books', 'updated_at': '2025-01-22T03:50:04.275026', 'userId': None}, {'score': 0.9989609122276306, 'id': 20308119946, 'context': 'books', 'updated_at': '2025-01-22T14:18:55.85723', 'userId': None}, {'score': 0.9982917308807373, 'id': 20308138201, 'context': 'books', 'updated_at': '2025-01-22T14:21:30.667633'}]"
1285752,,2002,Fall in Love Like a Comic! 1,1,[]
40656,"College Majors and Careers, Sixth Edition offers straightforward advice for high school and college students exploring their career options. Providing invaluable guidance on figuring out what to do with an English major or selecting a field of study, this practical guide covers more than 60 college majors linked to more than 350 different career paths. Each college major article includes Occupations, High School Subjects, Majors, Leisure-Time Activities, Personal Skills, Resources, and Values and Personal Attributes. These sections help students identify their strengths and skills, as well as the activities, education, and training they can pursue to help them succeed in their field of study and their career. This edition includes new questions in the ""Career-Related Questions and Answers"" section, now reorganized into subcategories for easier browsing. All the major sections have been updated and revised, and a new ""Fact Box"" feature cites key statistical information, such as the number of grads per year or average starting salaries for jobs with a specific major. An invaluable new section helps parents, professionals, and students learn how to best use the book. - Publisher.",1996,College majors and careers,1,[]
1068671,,2003,The Bastard's Tale,1,"[{'score': 0.9968645572662354, 'id': 20309047988, 'context': 'books', 'updated_at': '2025-01-22T15:20:33.116207', 'userId': None}, {'score': 0.9962477684020996, 'id': 20300930903, 'context': 'books', 'updated_at': '2025-01-22T04:19:10.313298', 'userId': None}, {'score': 0.9981145858764648, 'id': 20162463026, 'context': 'books', 'updated_at': '2025-01-15T01:43:59.792745', 'userId': None}, {'score': 0.9977390170097351, 'id': 20162500584, 'context': 'books', 'updated_at': '2025-01-15T01:49:05.839431', 'userId': None}, {'score': 0.9974907040596008, 'id': 20262198457, 'context': 'books', 'updated_at': '2025-01-20T01:14:01.422338', 'userId': None}, {'score': 0.9985421299934387, 'id': 20294436272, 'context': 'books', 'updated_at': '2025-01-21T19:07:23.428024', 'userId': None}, {'score': 0.9964095950126648, 'id': 20302127658, 'context': 'books', 'updated_at': '2025-01-22T05:25:56.260795', 'userId': None}, {'score': 0.998715341091156, 'id': 20278981714, 'context': 'books', 'updated_at': '2025-01-20T23:07:36.644655', 'userId': None}, {'score': 0.9978451728820801, 'id': 20303059662, 'context': 'books', 'updated_at': '2025-01-22T06:14:57.408822', 'userId': None}, {'score': 0.9990763664245605, 'id': 20296762336, 'context': 'books', 'updated_at': '2025-01-21T21:48:57.058205', 'userId': None}, {'score': 0.9985135197639465, 'id': 20279638573, 'context': 'books', 'updated_at': '2025-01-21T00:13:26.734489', 'userId': None}, {'score': 0.9992015361785889, 'id': 20296885609, 'context': 'books', 'updated_at': '2025-01-21T22:14:09.720623', 'userId': None}, {'score': 0.9984792470932007, 'id': 20296898050, 'context': 'books', 'updated_at': '2025-01-21T22:16:34.471447', 'userId': None}, {'score': 0.9983181953430176, 'id': 20303503804, 'context': 'books', 'updated_at': '2025-01-22T06:49:19.413915', 'userId': None}, {'score': 0.997951328754425, 'id': 20281078094, 'context': 'books', 'updated_at': '2025-01-21T01:53:42.065525', 'userId': None}, {'score': 0.9984061121940613, 'id': 20182156493, 'context': 'books', 'updated_at': '2025-01-16T00:04:35.216349', 'userId': None}, {'score': 0.9976440072059631, 'id': 20305417563, 'context': 'books', 'updated_at': '2025-01-22T09:38:55.901428', 'userId': None}, {'score': 0.9989405274391174, 'id': 20182364242, 'context': 'books', 'updated_at': '2025-01-16T00:32:26.84982', 'userId': None}, {'score': 0.9978499412536621, 'id': 20298868981, 'context': 'books', 'updated_at': '2025-01-22T02:43:36.354988', 'userId': None}, {'score': 0.9984966516494751, 'id': 20183331045, 'context': 'books', 'updated_at': '2025-01-16T01:17:25.298096', 'userId': None}, {'score': 0.9987044334411621, 'id': 20183461188, 'context': 'books', 'updated_at': '2025-01-16T01:34:21.644111', 'userId': None}, {'score': 0.9914653301239014, 'id': 20307183608, 'context': 'books', 'updated_at': '2025-01-22T12:50:06.205571', 'userId': None}, {'score': 0.9983227252960205, 'id': 20308031435, 'context': 'books', 'updated_at': '2025-01-22T14:05:37.314727'}]"
888048,,1998,"Pokémon Adventures, Vol. 4",1,"[{'score': 0.9990401864051819, 'id': 20301027002, 'context': 'books', 'updated_at': '2025-01-22T04:32:50.486778', 'userId': None}, {'score': 0.9988394975662231, 'id': 20161999799, 'context': 'books', 'updated_at': '2025-01-15T01:27:57.218467', 'userId': None}, {'score': 0.9986006617546082, 'id': 20277545354, 'context': 'books', 'updated_at': '2025-01-20T21:39:05.160598', 'userId': None}, {'score': 0.9986257553100586, 'id': 20302048669, 'context': 'books', 'updated_at': '2025-01-22T05:13:21.30177', 'userId': None}, {'score': 0.9990169405937195, 'id': 20262670137, 'context': 'books', 'updated_at': '2025-01-20T01:53:48.338', 'userId': None}, {'score': 0.9992397427558899, 'id': 20302107731, 'context': 'books', 'updated_at': '2025-01-22T05:22:18.463345', 'userId': None}, {'score': 0.9989321231842041, 'id': 20295537557, 'context': 'books', 'updated_at': '2025-01-21T20:28:03.122989', 'userId': None}, {'score': 0.9989423751831055, 'id': 20295466954, 'context': 'books', 'updated_at': '2025-01-21T20:14:10.839715', 'userId': None}, {'score': 0.9987654685974121, 'id': 20296125656, 'context': 'books', 'updated_at': '2025-01-21T21:33:00.082635', 'userId': None}, {'score': 0.9995824694633484, 'id': 20303121427, 'context': 'books', 'updated_at': '2025-01-22T06:25:47.811205', 'userId': None}, {'score': 0.9987186193466187, 'id': 20303218317, 'context': 'books', 'updated_at': '2025-01-22T06:40:10.178965', 'userId': None}, {'score': 0.9979891777038574, 'id': 20279506363, 'context': 'books', 'updated_at': '2025-01-20T23:49:55.192668', 'userId': None}, {'score': 0.9987283945083618, 'id': 20296855090, 'context': 'books', 'updated_at': '2025-01-21T22:07:56.177261', 'userId': None}, {'score': 0.9982494115829468, 'id': 20279707365, 'context': 'books', 'updated_at': '2025-01-21T00:23:56.113206', 'userId': None}, {'score': 0.9989469051361084, 'id': 20303758893, 'context': 'books', 'updated_at': '2025-01-22T07:25:43.644779', 'userId': None}, {'score': 0.9976020455360413, 'id': 20280410099, 'context': 'books', 'updated_at': '2025-01-21T01:04:54.18972', 'userId': None}, {'score': 0.9993810653686523, 'id': 20297490508, 'context': 'books', 'updated_at': '2025-01-21T22:50:40.669489', 'userId': None}, {'score': 0.9981708526611328, 'id': 20182165198, 'context': 'books', 'updated_at': '2025-01-16T00:05:51.793314', 'userId': None}, {'score': 0.9989335536956787, 'id': 20182218016, 'context': 'books', 'updated_at': '2025-01-16T00:13:15.751826', 'userId': None}, {'score': 0.9990533590316772, 'id': 20305119678, 'context': 'books', 'updated_at': '2025-01-22T08:47:09.111524', 'userId': None}, {'score': 0.9983028769493103, 'id': 20305180702, 'context': 'books', 'updated_at': '2025-01-22T08:56:19.835385', 'userId': None}, {'score': 0.9991205930709839, 'id': 20305365350, 'context': 'books', 'updated_at': '2025-01-22T09:29:47.283072', 'userId': None}, {'score': 0.9987883567810059, 'id': 20182270148, 'context': 'books', 'updated_at': '2025-01-16T00:20:24.429914', 'userId': None}, {'score': 0.9990924596786499, 'id': 20305866694, 'context': 'books', 'updated_at': '2025-01-22T10:18:43.280085', 'userId': None}, {'score': 0.998867392539978, 'id': 20306172483, 'context': 'books', 'updated_at': '2025-01-22T11:03:15.728227', 'userId': None}, {'score': 0.9988880753517151, 'id': 20307955867, 'context': 'books', 'updated_at': '2025-01-22T13:54:44.97497'}]"
224746,"With the help of his take-charge dog Rodney and a self-help video, young Santa Claus mends his lazy and irresponsible ways.",,The dog who saved Santa,1,[]
441034,,2017,The Boy on the Bridge,1,"[{'score': 0.9985064268112183, 'id': 20262047684, 'context': 'books', 'updated_at': '2025-01-20T00:50:06.900627', 'userId': None}, {'score': 0.9990949630737305, 'id': 20162537238, 'context': 'books', 'updated_at': '2025-01-15T01:53:54.660564', 'userId': None}, {'score': 0.9984256625175476, 'id': 20262217891, 'context': 'books', 'updated_at': '2025-01-20T01:17:25.54521', 'userId': None}, {'score': 0.9989556074142456, 'id': 20262286753, 'context': 'books', 'updated_at': '2025-01-20T01:28:52.983275', 'userId': None}, {'score': 0.9982895255088806, 'id': 20294480198, 'context': 'books', 'updated_at': '2025-01-21T19:15:09.509461', 'userId': None}, {'score': 0.9981520771980286, 'id': 20262650679, 'context': 'books', 'updated_at': '2025-01-20T01:50:41.491696', 'userId': None}, {'score': 0.9983614683151245, 'id': 20295579754, 'context': 'books', 'updated_at': '2025-01-21T20:36:10.974267', 'userId': None}, {'score': 0.9979988932609558, 'id': 20295606941, 'context': 'books', 'updated_at': '2025-01-21T20:40:51.264849', 'userId': None}, {'score': 0.9969674944877625, 'id': 20279043228, 'context': 'books', 'updated_at': '2025-01-20T23:17:03.151219', 'userId': None}, {'score': 0.997544527053833, 'id': 20303146987, 'context': 'books', 'updated_at': '2025-01-22T06:29:29.99638', 'userId': None}, {'score': 0.9954476356506348, 'id': 20279758764, 'context': 'books', 'updated_at': '2025-01-21T00:31:34.772572', 'userId': None}, {'score': 0.99812912940979, 'id': 20304518798, 'context': 'books', 'updated_at': '2025-01-22T07:59:42.724442', 'userId': None}, {'score': 0.9992326498031616, 'id': 20182217244, 'context': 'books', 'updated_at': '2025-01-16T00:13:11.004773', 'userId': None}, {'score': 0.9980589151382446, 'id': 20306536530, 'context': 'books', 'updated_at': '2025-01-22T11:43:59.038728', 'userId': None}, {'score': 0.9965308904647827, 'id': 20299760874, 'context': 'books', 'updated_at': '2025-01-22T03:10:29.409775', 'userId': None}, {'score': 0.9987984895706177, 'id': 20183977195, 'context': 'books', 'updated_at': '2025-01-16T01:44:32.199327'}]"
